Date,Sentiment_Score,Label
2024-01-09,0.1597,positive
2024-01-10,0.2231,positive
2024-01-11,0.013,neutral
2024-01-12,0.0619,neutral
2024-01-13,0.4275,positive
2024-01-14,0.2338,positive
2024-01-15,0.0137,neutral
2024-01-16,0.1012,positive
2024-01-17,0.0743,neutral
2024-01-18,0.0059,neutral
2024-01-19,0.0,neutral
2024-01-20,0.2266,positive
2024-01-21,0.2561,positive
2024-01-22,-0.2712,negative
2024-01-23,0.1203,positive
2024-01-24,0.2703,positive
2024-01-25,0.3439,positive
2024-01-26,0.3015,positive
2024-01-27,0.1448,positive
2024-01-28,0.3418,positive
2024-01-29,0.2642,positive
2024-01-30,0.0914,neutral
2024-01-31,0.2208,positive
2024-02-01,0.0,neutral
2024-02-02,0.3538,positive
2024-02-03,0.1186,positive
2024-02-04,0.1547,positive
2024-02-05,0.1756,positive
2024-02-06,0.387,positive
2024-02-07,0.1355,positive
2024-02-08,0.3528,positive
2024-02-09,-0.0679,neutral
2024-02-10,0.4662,positive
2024-02-11,0.1154,positive
2024-02-12,0.4132,positive
2024-02-13,0.1064,positive
2024-02-14,0.3516,positive
2024-02-15,0.133,positive
2024-02-16,0.0,neutral
2024-02-17,-0.1157,negative
2024-02-18,-0.0385,neutral
2024-02-19,0.4172,positive
2024-02-20,0.2828,positive
2024-02-21,0.2507,positive
2024-02-22,0.4716,positive
2024-02-23,0.1641,positive
2024-02-24,0.0566,neutral
2024-02-25,0.2972,positive
2024-02-26,-0.1457,negative
2024-02-27,0.1484,positive
2024-02-28,0.112,positive
2024-02-29,0.234,positive
2024-03-01,0.1779,positive
2024-03-02,0.2764,positive
2024-03-03,0.3065,positive
2024-03-04,0.3292,positive
2024-03-05,0.0883,neutral
2024-03-06,-0.0129,neutral
2024-03-07,0.131,positive
2024-03-08,0.1513,positive
2024-03-09,0.2159,positive
2024-03-10,0.333,positive
2024-03-11,0.2329,positive
2024-03-12,0.0564,neutral
2024-03-13,0.2606,positive
2024-03-14,0.146,positive
2024-03-15,0.1079,positive
2024-03-16,0.5303,positive
2024-03-17,-0.0163,neutral
2024-03-18,-0.0332,neutral
2024-03-19,0.1134,positive
2024-03-20,0.301,positive
2024-03-21,0.4472,positive
2024-03-22,0.1958,positive
2024-03-23,0.4266,positive
2024-03-24,0.0,neutral
2024-03-25,-0.2237,negative
2024-03-26,-0.1813,negative
2024-03-27,0.0009,neutral
2024-03-28,0.0932,neutral
2024-03-29,-0.1517,negative
2024-03-30,0.2783,positive
2024-03-31,0.4071,positive
2024-04-01,0.1015,positive
2024-04-02,0.3776,positive
2024-04-03,0.6153,positive
2024-04-04,0.0725,neutral
2024-04-05,0.1722,positive
2024-04-06,0.0766,neutral
2024-04-07,0.1135,positive
2024-04-08,0.1216,positive
2024-04-09,0.192,positive
2024-04-10,0.6813,positive
2024-04-11,0.2945,positive
2024-04-12,0.5532,positive
2024-04-13,0.0943,neutral
2024-04-14,0.088,neutral
2024-04-15,-0.0562,neutral
2024-04-16,0.3079,positive
2024-04-17,0.0985,neutral
2024-04-18,0.5573,positive
2024-04-19,0.5384,positive
2024-04-20,0.1526,positive
2024-04-21,-0.4391,negative
2024-04-22,0.1726,positive
2024-04-23,0.1673,positive
2024-04-24,0.4428,positive
2024-04-25,0.0,neutral
2024-04-26,0.2315,positive
2024-04-27,-0.1762,negative
2024-04-28,0.0,neutral
2024-04-29,0.7372,positive
2024-04-30,0.3695,positive
2024-05-01,0.1151,positive
2024-05-02,-0.0305,neutral
2024-05-03,0.3499,positive
2024-05-04,0.3027,positive
2024-05-05,-0.1416,negative
2024-05-06,0.315,positive
2024-05-07,0.4293,positive
2024-05-08,0.4735,positive
2024-05-09,0.5407,positive
2024-05-10,0.4998,positive
2024-05-11,0.6085,positive
2024-05-12,0.1726,positive
2024-05-13,0.0,neutral
2024-05-14,0.1105,positive
2024-05-15,-0.0408,neutral
2024-05-16,0.3676,positive
2024-05-17,0.1007,positive
2024-05-18,0.1055,positive
2024-05-19,0.0,neutral
2024-05-20,0.2217,positive
2024-05-21,0.3617,positive
2024-05-22,0.0157,neutral
2024-05-23,0.3038,positive
2024-05-24,0.2792,positive
2024-05-25,0.2363,positive
2024-05-26,0.2628,positive
2024-05-27,0.2929,positive
2024-05-28,0.0,neutral
2024-05-29,-0.1181,negative
2024-05-30,0.1629,positive
2024-05-31,0.2648,positive
2024-06-01,0.2007,positive
2024-06-02,0.0793,neutral
2024-06-03,0.0243,neutral
2024-06-04,0.2064,positive
2024-06-05,0.2409,positive
2024-06-06,0.232,positive
2024-06-07,0.0183,neutral
2024-06-08,-0.0475,neutral
2024-06-09,0.2725,positive
2024-06-10,0.0678,neutral
2024-06-11,-0.0623,neutral
2024-06-12,0.0941,neutral
2024-06-13,0.0,neutral
2024-06-14,0.4493,positive
